,gene_Her2_x,score_Her2_x,gene_Her2_y,score_Her2_y
13612,MMP1,0.5286677260846391,MMP1,0.5286677260846391
13613,EN2,0.5286386805781458,EN2,0.5286386805781458
13614,GUK1,0.528607967799999,GUK1,0.528607967799999
13615,SLC7A7,0.5285719561064154,SLC7A7,0.5285719561064154
13616,CCL25,0.5285565386677311,CCL25,0.5285565386677311
13617,PSMB4,0.528540701921627,PSMB4,0.528540701921627
13618,AKAP4,0.5285240465664794,AKAP4,0.5285240465664794
13619,SORCS1,0.5284906514711641,SORCS1,0.5284906514711641
13620,STIM2,0.528448582094642,STIM2,0.528448582094642
13621,PARP2,0.528443320291105,PARP2,0.528443320291105
13622,RFTN1,0.5284008610888997,RFTN1,0.5284008610888997
13623,NUPR2,0.5283952726915038,NUPR2,0.5283952726915038
13624,C10orf113,0.5283779529776889,C10orf113,0.5283779529776889
13625,ATP10A,0.5283769272895166,ATP10A,0.5283769272895166
13626,CD72,0.5283116979376056,CD72,0.5283116979376056
13627,RRN3P1,0.5282956363658994,RRN3P1,0.5282956363658994
13628,LINC01192,0.5282887457546325,LINC01192,0.5282887457546325
13629,ITGA3,0.5282877623133814,ITGA3,0.5282877623133814
13630,SIX2,0.5282782936680664,SIX2,0.5282782936680664
13631,NARS2,0.5282719758780385,NARS2,0.5282719758780385
13632,TMEM9,0.5282599906808857,TMEM9,0.5282599906808857
13633,PAIP1,0.5282045541168654,PAIP1,0.5282045541168654
13634,HIST1H4J,0.5281988032065652,HIST1H4J,0.5281988032065652
13635,LINC01960,0.5281976570099046,LINC01960,0.5281976570099046
13636,RBMS2,0.5281872755692496,RBMS2,0.5281872755692496
13637,LATS1,0.5281856152659002,LATS1,0.5281856152659002
13638,ODF3L1,0.5281704424465566,ODF3L1,0.5281704424465566
13639,MRM1,0.5281236800648746,MRM1,0.5281236800648746
13640,SKA2,0.528077197790646,SKA2,0.528077197790646
13641,ITPRID1,0.5280639477807637,ITPRID1,0.5280639477807637
13642,OR5AS1,0.5280426177282298,OR5AS1,0.5280426177282298
13643,ARHGEF26,0.5279984424024677,ARHGEF26,0.5279984424024677
13644,TMEM169,0.527994766512441,TMEM169,0.527994766512441
13645,C2orf88,0.5279120588296015,C2orf88,0.5279120588296015
13646,HMGA1,0.5279080066914165,HMGA1,0.5279080066914165
13647,UNC93A,0.5278994981118916,UNC93A,0.5278994981118916
13648,LDAH,0.5278797855532277,LDAH,0.5278797855532277
13649,ZNF703,0.5278714653153801,ZNF703,0.5278714653153801
13650,PDRG1,0.5278701526806778,PDRG1,0.5278701526806778
13651,ASH1L,0.5278612823566122,ASH1L,0.5278612823566122
13652,GPR101,0.5278108353521225,GPR101,0.5278108353521225
13653,PRAME,0.527770045171415,PRAME,0.527770045171415
